pokemon1,pokemon2,lvldif,a1,a2,a3,a4,b1,b2,b3,b4,win
kingler,ninetales,15,struggle,double slap,pin missile,transform,clamp,defense curl,roar,mega kick,true
flareon,parasect,-20,gust,psychic,stomp,solar beam,growth,submission,swords dance,kinesis,true
koffing,kingler,39,guillotine,thunder punch,soft-boiled,bone club,absorb,razor wind,ice beam,slash,true
haunter,eevee,4,barrier,barrage,comet punch,wing attack,hyper fang,confuse ray,bone club,hydro pump,false
rhydon,hitmonlee,89,amnesia,egg bomb,crabhammer,teleport,mimic,ice punch,double slap,horn attack,true
koffing,psyduck,10,leech life,psywave,thunder wave,solar beam,recover,leer,rock throw,double slap,true
gyarados,magnemite,-25,mirror move,disable,kinesis,mega kick,spore,constrict,confuse ray,waterfall,false
slowbro,weezing,-2,struggle,horn drill,night shade,fly,pin missile,wing attack,egg bomb,struggle,false
snorlax,seadra,16,defense curl,acid armor,drill peck,drill peck,dream eater,scratch,withdraw,confuse ray,true
nidorino,ekans,-45,fury swipes,wing attack,whirlwind,light screen,ice beam,harden,sleep powder,submission,false
growlithe,meowth,-19,meditate,body slam,slam,hyper beam,flamethrower,growth,growth,hypnosis,false
metapod,diglett,-44,recover,sky attack,waterfall,pay day,super fang,vice grip,tail whip,leech seed,false
starmie,tangela,25,poison powder,jump kick,vine whip,sleep powder,mega kick,thunderbolt,psychic,growl,true
aerodactyl,arbok,38,super fang,tail whip,clamp,pound,poison gas,bind,substitute,submission,true
staryu,seadra,20,horn attack,comet punch,razor wind,thunderbolt,screech,fly,smog,pay day,true
doduo,farfetch'd,48,glare,sand attack,growth,skull bash,comet punch,dream eater,harden,fury attack,false
seadra,growlithe,-33,agility,absorb,petal dance,agility,strength,mirror move,guillotine,reflect,true
staryu,hitmonlee,4,transform,aurora beam,swords dance,thunderbolt,horn drill,crabhammer,razor leaf,sleep powder,false
goldeen,pidgeotto,3,earthquake,slam,tri attack,harden,string shot,horn drill,confusion,thunder wave,true
mr. mime,ekans,-14,splash,stomp,horn attack,withdraw,double slap,blizzard,strength,water gun,false
farfetch'd,nidorina,-67,thunder,pin missile,rock slide,pound,bubble beam,razor leaf,sand attack,counter,false
blastoise,caterpie,-57,mirror move,barrage,pin missile,razor wind,solar beam,horn attack,tackle,razor wind,false
haunter,squirtle,75,slam,scratch,teleport,dragon rage,soft-boiled,quick attack,slash,thunder punch,true
wartortle,slowpoke,-29,double team,dragon rage,tackle,wing attack,bide,rock slide,pin missile,thunder punch,false
blastoise,moltres,-4,wing attack,tri attack,barrage,mist,crabhammer,dizzy punch,twineedle,conversion,false
dragonair,dragonair,-50,leech seed,constrict,flamethrower,double kick,acid,absorb,confuse ray,sleep powder,false
pidgeotto,horsea,45,fury attack,rock throw,psybeam,gust,amnesia,self-destruct,ember,growl,true
chansey,slowbro,-44,razor leaf,roar,self-destruct,flash,counter,lovely kiss,fury swipes,thunder,false
dragonite,articuno,-17,ember,vice grip,high jump kick,self-destruct,sludge,tri attack,bide,acid,false
ninetales,eevee,-6,dig,ice punch,hyper beam,soft-boiled,glare,glare,fire punch,cut,true
magmar,seadra,30,mist,lick,surf,absorb,sky attack,whirlwind,sand attack,double kick,true
goldeen,muk,40,metronome,struggle,egg bomb,acid armor,clamp,mist,amnesia,spore,true
weepinbell,growlithe,1,supersonic,wing attack,leech seed,sludge,absorb,confusion,karate chop,meditate,false
kabutops,mewtwo,-17,slash,solar beam,recover,strength,strength,water gun,double slap,mist,false
blastoise,nidorina,9,bonemerang,dragon rage,pay day,smog,solar beam,glare,splash,fire spin,true
pidgeot,beedrill,1,sludge,crabhammer,poison gas,metronome,disable,rock throw,tail whip,toxic,true
jigglypuff,exeggcute,-49,cut,sonic boom,sing,teleport,fire punch,reflect,explosion,double-edge,false
machamp,kabuto,-18,confuse ray,psybeam,thunder punch,hyper fang,poison powder,earthquake,karate chop,string shot,false
cubone,charmander,31,mist,mimic,poison gas,vice grip,reflect,defense curl,psywave,string shot,true
exeggcute,bellsprout,81,harden,mega punch,transform,pin missile,dragon rage,guillotine,karate chop,swords dance,true
omanyte,butterfree,39,fury attack,bone club,meditate,bubble,slam,high jump kick,headbutt,bide,true
tauros,psyduck,28,haze,harden,thunder,substitute,psychic,psywave,horn attack,leech seed,true
paras,pidgeotto,-28,bubble beam,confuse ray,fly,twineedle,pound,earthquake,rock throw,soft-boiled,false
vaporeon,caterpie,25,smog,thunder punch,poison powder,lick,thunder shock,sonic boom,splash,whirlwind,true
rhyhorn,dragonair,-80,mirror move,acid,minimize,razor wind,spike cannon,ice punch,razor wind,poison gas,false
tauros,beedrill,-15,stomp,soft-boiled,hydro pump,poison gas,fire punch,scratch,tail whip,flash,false
paras,dragonite,0,surf,leech seed,acid,bubble,substitute,pin missile,amnesia,sludge,false
meowth,machamp,23,stun spore,withdraw,whirlwind,bubble,stun spore,barrier,tail whip,clamp,true
gloom,dragonite,71,fire punch,supersonic,spike cannon,thunder,growl,growth,rock throw,aurora beam,true
electabuzz,lapras,-3,supersonic,mega punch,fury swipes,rage,ember,dizzy punch,egg bomb,rolling kick,false
jolteon,poliwhirl,21,fury swipes,low kick,aurora beam,barrier,harden,bubble beam,sharpen,spike cannon,true
vaporeon,tauros,-13,poison powder,focus energy,sky attack,low kick,lovely kiss,thunder shock,scratch,light screen,false
marowak,arbok,-20,spike cannon,sky attack,mimic,karate chop,growl,confuse ray,sand attack,whirlwind,true
rapidash,clefable,-52,mega punch,fire blast,slash,razor wind,ice beam,metronome,dig,solar beam,false
raichu,chansey,-24,headbutt,rage,bubble beam,fire spin,dragon rage,thunder,dragon rage,mega kick,false
electrode,machamp,-46,minimize,ice beam,headbutt,rolling kick,aurora beam,double-edge,bone club,twineedle,false
jynx,sandslash,0,double-edge,poison sting,string shot,thunder,bonemerang,bubble,kinesis,tail whip,false
graveler,alakazam,-42,confusion,string shot,sing,confuse ray,growl,lovely kiss,poison gas,flamethrower,false
charmander,kabutops,8,petal dance,leech life,growl,egg bomb,super fang,gust,thunderbolt,defense curl,true
muk,kabuto,-69,bind,defense curl,acid armor,poison powder,super fang,twineedle,fly,rolling kick,false
kabutops,victreebel,-76,leech life,recover,horn attack,bite,smog,leech life,stun spore,comet punch,false
psyduck,bellsprout,-19,stomp,sludge,earthquake,strength,mirror move,sludge,peck,mega kick,false
graveler,charmander,-37,rock slide,growl,stomp,bone club,psywave,pin missile,stomp,earthquake,false
mewtwo,kakuna,-70,conversion,thunder punch,confuse ray,thunderbolt,acid,ember,pound,metronome,false
vulpix,nidorino,40,string shot,bone club,fury attack,slash,take down,acid,transform,string shot,true
aerodactyl,weepinbell,46,fire spin,mega punch,double kick,body slam,double kick,hydro pump,amnesia,fire punch,true
tauros,gyarados,-29,rock throw,petal dance,psychic,horn drill,bonemerang,fissure,flamethrower,ice punch,false
wartortle,arbok,14,bite,soft-boiled,strength,tackle,high jump kick,earthquake,rolling kick,sleep powder,true
sandslash,goldeen,6,ice beam,transform,haze,rock slide,light screen,karate chop,egg bomb,earthquake,true
ditto,omastar,64,solar beam,leech seed,substitute,supersonic,recover,petal dance,pin missile,dragon rage,true
vulpix,spearow,56,fury attack,clamp,double slap,dizzy punch,recover,psybeam,swift,stun spore,true
machoke,poliwrath,52,psybeam,comet punch,teleport,fissure,roar,defense curl,conversion,drill peck,true
magikarp,nidoking,-75,spore,minimize,poison sting,mega punch,acid,thunder shock,lovely kiss,horn drill,false
weepinbell,geodude,-34,whirlwind,barrier,razor wind,bubble,hypnosis,counter,guillotine,fly,true
slowbro,kangaskhan,-57,absorb,fury attack,mimic,hypnosis,horn drill,barrier,twineedle,substitute,false
flareon,tauros,-37,sky attack,waterfall,drill peck,counter,seismic toss,earthquake,string shot,skull bash,false
butterfree,nidoqueen,-36,bind,mirror move,super fang,roar,vice grip,roar,glare,headbutt,false
electrode,growlithe,72,defense curl,double slap,flamethrower,aurora beam,earthquake,growl,ember,strength,true
golbat,drowzee,37,growth,psybeam,poison sting,razor wind,hyper beam,kinesis,sonic boom,slash,true
seel,articuno,49,thrash,pay day,metronome,lick,meditate,crabhammer,egg bomb,sleep powder,true
psyduck,muk,-64,string shot,reflect,rock throw,water gun,dragon rage,horn attack,transform,skull bash,false
shellder,beedrill,-49,low kick,dragon rage,guillotine,rage,acid,metronome,dizzy punch,karate chop,false
victreebel,farfetch'd,36,horn attack,psywave,submission,thunderbolt,poison gas,metronome,dream eater,fire blast,true
dragonair,beedrill,-49,super fang,recover,mega drain,razor leaf,roar,mega drain,strength,thunder shock,false
kadabra,ponyta,2,earthquake,agility,acid,leer,acid armor,ember,mega punch,thunder,true
magikarp,persian,-43,thunder wave,counter,sharpen,tri attack,hyper beam,soft-boiled,stun spore,screech,false
scyther,nidoqueen,65,twineedle,ember,seismic toss,dragon rage,egg bomb,light screen,dragon rage,dizzy punch,true
meowth,pidgeotto,-42,flash,minimize,haze,take down,light screen,double-edge,drill peck,scratch,false
staryu,persian,47,amnesia,aurora beam,hydro pump,water gun,confusion,agility,double kick,rage,true
kabutops,haunter,-34,spike cannon,night shade,sludge,jump kick,stomp,struggle,mirror move,high jump kick,false
sandslash,kabuto,23,hyper beam,barrage,double-edge,acid armor,explosion,substitute,mega punch,thrash,true
kadabra,persian,3,thunder shock,acid,fire blast,blizzard,twineedle,double slap,comet punch,flamethrower,true
pidgeot,nidorina,5,counter,whirlwind,rolling kick,spore,harden,barrage,fury attack,bite,true
magmar,nidorino,-36,skull bash,recover,take down,roar,fissure,dig,fury attack,razor leaf,false
aerodactyl,vileplume,38,light screen,stomp,hyper beam,ice punch,vice grip,psychic,submission,sonic boom,true
pidgey,tauros,-1,slam,comet punch,harden,double kick,vine whip,substitute,mega drain,psychic,false
flareon,exeggutor,-5,growth,conversion,egg bomb,substitute,growth,mega kick,spike cannon,rolling kick,false
ekans,doduo,-55,lick,blizzard,spike cannon,take down,lick,strength,bubble beam,tackle,false
caterpie,bellsprout,14,confuse ray,conversion,ice punch,thunderbolt,glare,headbutt,clamp,blizzard,true
vileplume,dewgong,-8,stomp,thunder shock,counter,bone club,razor wind,rock throw,rock throw,gust,false
ninetales,gyarados,-3,barrage,sonic boom,flash,light screen,clamp,slash,rest,toxic,false
rattata,ponyta,22,struggle,spike cannon,metronome,rest,acid armor,counter,fire blast,pay day,true
clefairy,pidgeot,-27,double slap,metronome,dig,kinesis,seismic toss,horn attack,ice beam,toxic,false
pikachu,kingler,30,clamp,toxic,bite,lovely kiss,double team,scratch,mega punch,jump kick,true
seadra,magneton,53,mirror move,headbutt,bubble,reflect,spore,surf,fire blast,mist,true
zapdos,starmie,13,thunderbolt,slam,thrash,skull bash,headbutt,bone club,bone club,seismic toss,true
dragonite,ekans,6,scratch,sharpen,bide,karate chop,sharpen,double team,horn attack,thunderbolt,true
primeape,blastoise,-65,thrash,twineedle,harden,hyper beam,flash,surf,whirlwind,hypnosis,false
aerodactyl,jolteon,6,smog,disable,tackle,earthquake,conversion,quick attack,confuse ray,haze,true
squirtle,eevee,3,struggle,struggle,substitute,rest,headbutt,whirlwind,dragon rage,hyper fang,true
kakuna,magikarp,-60,sleep powder,scratch,sing,solar beam,substitute,swords dance,skull bash,absorb,false
pidgey,omastar,0,bone club,spike cannon,hyper fang,smokescreen,amnesia,growl,rage,horn drill,true
golbat,poliwag,-21,tackle,growth,rage,blizzard,bind,leech life,roar,reflect,true
vileplume,dragonite,-42,bind,rock slide,soft-boiled,thunderbolt,rest,minimize,gust,fury attack,false
cloyster,paras,-61,double-edge,headbutt,sky attack,absorb,flash,petal dance,kinesis,bind,false
ekans,golduck,27,slam,stun spore,rest,petal dance,surf,super fang,disable,spore,true
kakuna,metapod,44,hydro pump,psybeam,mimic,metronome,focus energy,psychic,glare,rest,true
tauros,jolteon,-17,agility,confusion,dragon rage,flash,spore,sludge,sky attack,mega drain,false
machoke,graveler,36,swift,aurora beam,poison gas,cut,reflect,bide,disable,strength,true
lapras,shellder,44,high jump kick,skull bash,sonic boom,hypnosis,sludge,disable,recover,barrier,true
gyarados,poliwhirl,-33,hydro pump,bubble,leech seed,psybeam,leer,body slam,smog,mega kick,false
nidoking,poliwrath,-27,reflect,jump kick,stun spore,splash,hydro pump,sleep powder,spore,rest,false
staryu,kabuto,-40,meditate,fury attack,waterfall,horn drill,rock throw,sharpen,skull bash,psychic,false
machop,arbok,-57,defense curl,light screen,slam,defense curl,splash,growth,spike cannon,thunder punch,false
abra,ekans,56,ember,kinesis,smokescreen,fire blast,drill peck,tail whip,bite,conversion,true
doduo,dratini,-37,fire blast,hyper beam,swords dance,glare,bonemerang,sand attack,bide,earthquake,false
nidoqueen,gloom,-24,mega kick,hyper fang,mega punch,thunder shock,fury attack,leech life,flash,bind,false
jigglypuff,bellsprout,-10,waterfall,skull bash,crabhammer,super fang,bubble beam,explosion,bubble,fury attack,false
rhyhorn,rattata,12,withdraw,swift,stomp,mega kick,water gun,tackle,psychic,wing attack,true
kadabra,kangaskhan,3,pin missile,transform,flamethrower,spore,egg bomb,withdraw,splash,rolling kick,false
chansey,slowbro,37,rock slide,tail whip,hydro pump,egg bomb,confuse ray,spike cannon,thunder wave,sharpen,true
metapod,golem,-81,clamp,toxic,glare,tri attack,metronome,swift,absorb,confuse ray,false
omanyte,hitmonlee,-44,dream eater,bubble,bite,scratch,lovely kiss,hypnosis,struggle,petal dance,false
magneton,clefable,-66,lovely kiss,drill peck,fury attack,psybeam,drill peck,vine whip,smokescreen,toxic,false
diglett,exeggcute,-3,transform,whirlwind,spore,horn attack,scratch,defense curl,metronome,mega drain,false
porygon,nidorina,48,lovely kiss,mega kick,gust,sing,confuse ray,petal dance,skull bash,mega kick,true
omastar,jigglypuff,51,low kick,ice punch,ember,swift,splash,double kick,dream eater,sky attack,true
hitmonchan,graveler,67,growl,scratch,tackle,leech seed,hypnosis,pound,razor leaf,psybeam,true
machop,horsea,-5,blizzard,mirror move,smog,mega punch,transform,acid armor,splash,rock slide,true
wartortle,nidoran♂,0,conversion,quick attack,defense curl,spike cannon,dream eater,leech life,supersonic,tri attack,false
poliwag,horsea,77,splash,smokescreen,barrage,confuse ray,confusion,stun spore,mimic,high jump kick,true
moltres,hypno,3,horn attack,transform,barrier,egg bomb,razor wind,splash,spike cannon,psychic,true
nidorino,exeggcute,53,crabhammer,sonic boom,bite,earthquake,recover,earthquake,sing,ice beam,true
gengar,pikachu,7,wing attack,guillotine,quick attack,dizzy punch,headbutt,smokescreen,cut,rest,true
onix,rhyhorn,40,waterfall,comet punch,psybeam,slam,double team,haze,scratch,hyper fang,true
ekans,flareon,17,conversion,toxic,withdraw,gust,leer,minimize,dragon rage,twineedle,true
machamp,ivysaur,-20,flash,tri attack,leer,sand attack,mega punch,kinesis,thunder wave,hypnosis,false
ninetales,ekans,7,focus energy,comet punch,counter,poison gas,transform,withdraw,bite,sharpen,false
gyarados,chansey,52,glare,cut,submission,transform,fly,thunder punch,night shade,twineedle,true
venusaur,seel,-26,rage,vine whip,thunder,spike cannon,surf,slam,agility,swift,false
vileplume,weepinbell,5,bubble beam,growl,gust,strength,screech,bite,spore,high jump kick,true
kakuna,ditto,-37,wing attack,leer,super fang,egg bomb,double-edge,fire punch,withdraw,waterfall,false
squirtle,venonat,-59,fire punch,self-destruct,screech,glare,sonic boom,haze,splash,egg bomb,true
dragonite,aerodactyl,-40,confuse ray,low kick,poison powder,light screen,minimize,psychic,double slap,mega punch,false
seaking,wigglytuff,-80,drill peck,jump kick,flash,double kick,vine whip,poison sting,conversion,twineedle,false
tangela,marowak,-12,fury swipes,tri attack,water gun,substitute,fury attack,defense curl,razor wind,growth,true
dragonite,dugtrio,-3,reflect,acid armor,dragon rage,withdraw,skull bash,fire punch,bubble,leer,false
ninetales,zubat,8,seismic toss,horn drill,acid,dig,blizzard,acid,bind,lovely kiss,true
caterpie,hitmonchan,-12,bind,toxic,night shade,take down,dragon rage,waterfall,pin missile,guillotine,false
omastar,seadra,33,aurora beam,hypnosis,leech seed,submission,swords dance,sonic boom,dizzy punch,flamethrower,true
gyarados,mankey,4,leech seed,rage,growth,growl,struggle,rolling kick,tail whip,lick,true
gyarados,kangaskhan,-3,fire spin,double kick,whirlwind,rock throw,dream eater,super fang,night shade,thunder shock,true
magikarp,psyduck,-15,mega kick,sand attack,harden,dragon rage,bonemerang,psywave,lovely kiss,conversion,false
omanyte,squirtle,51,hydro pump,swords dance,leer,pound,smokescreen,double slap,smog,self-destruct,true
